gene	WT_UN120_r1	WT_UN120_r2	WT_UN120_r3	WT_EM30_r1	WT_EM30_r2	WT_EM30_r3	WT_EM120_r1	WT_EM120_r2	WT_EM120_r3	EDF1_ko_UN120_r1	EDF1_ko_UN120_r2	EDF1_ko_UN120_r3	EDF1_ko_EM30_r1	EDF1_ko_EM30_r2	EDF1_ko_EM30_r3	EDF1_ko_EM120_r1	EDF1_ko_EM120_r2	EDF1_ko_EM120_r3
ENSG00000134758|RNF138	390.001	970.0	798.0010000000001	958.0	263.0	214.001	768.001	636.001	917.0000000000001	548.0	388.99899999999997	760.001	1082.0	772.9999999999999	1009.9999999999999	1113.0000000000002	2170.0	1486.0
ENSG00000141441|GAREM1	143.0	250.0	255.0	281.0	160.0	182.0	287.99999999999994	279.0	337.0	227.0	165.0	213.0	265.0	269.0	331.0	480.00000000000006	588.0	442.00000000000006
ENSG00000141434|MEP1B	0.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	2.0	4.0	3.0	3.0	4.0	8.000000000000002	2.0
ENSG00000197705|KLHL14	80.0	164.001	147.0	169.0	70.0	49.99999999999999	88.0	107.0	102.0	88.0	68.0	98.0	132.0	116.001	142.00100000000003	157.0	244.99900000000002	202.0
ENSG00000166960|CCDC178	0.0	7.0	1.0	10.0	0.0	13.0	5.0	4.0	4.0	6.0	6.0	15.0	18.0	6.0	15.999999999999998	15.0	36.0	20.0
ENSG00000141431|ASXL3	181.0	333.9990000000001	269.999	405.99999999999994	161.001	87.0	368.999	289.0	311.0	234.0	178.0	234.999	320.999	309.00100000000003	357.00000000000006	437.0	724.0000000000001	454.001
ENSG00000101746|NOL4	118.0	229.999	184.00099999999998	277.999	116.0	164.99999999999997	179.00099999999998	222.00000000000003	199.002	183.00099999999998	172.0	195.99999999999997	234.00000000000003	222.0	312.0	358.0	524.999	408.99999999999994
ENSG00000134769|DTNA	394.99899999999997	789.0000000000001	640.0009999999999	830.0000000000001	281.998	266.0	625.0010000000001	574.002	639.9999999999999	486.998	411.99999999999994	556.9989999999999	860.9989999999998	752.001	860.0019999999998	888.999	1448.998	1094.0009999999997
ENSG00000166974|MAPRE2	892.001	1732.0	1537.0	1887.0	748.9989999999999	826.001	1282.0	1218.9999999999998	1258.9999999999998	1234.0	1207.0	1341.0	1742.9989999999998	1696.0	1893.0009999999997	2045.0000000000005	3201.0	2448.9990000000003
ENSG00000186812|ZNF397	317.861	588.988	619.6890000000001	827.9499999999999	304.981	263.0	577.001	608.805	639.008	550.214	470.11999999999995	552.0469999999999	685.9999999999999	581.354	777.083	1064.908	1913.9820000000004	1296.122
ENSG00000186814|ZSCAN30	145.0	289.501	259.00100000000003	389.615	133.001	174.0	181.0	225.0	219.60899999999998	273.0	185.99800000000002	264.0	245.997	236.99900000000002	311.0	323.997	588.9939999999999	450.999
ENSG00000172466|ZNF24	974.9990000000001	2052.0	1846.0000000000002	2364.001	1078.999	797.0000000000001	1746.0000000000002	1916.0	2161.0010000000007	1923.0	1481.999	1939.0	2327.0	2065.0009999999997	2560.0	3201.0000000000005	5552.000000000002	4008.0009999999997
ENSG00000186496|ZNF396	8.0	13.0	15.0	28.0	11.0	11.0	32.00000000000001	31.0	25.0	22.0	21.0	34.0	24.0	19.000000000000004	43.998999999999995	73.0	82.0	59.00000000000001
ENSG00000267140|AC007998.2	1.336	3.091	4.715	11.023	6.104	0.0	1.224	0.0	1.156	0.0	6.4510000000000005	2.58	4.519	4.529	2.798	6.195	5.351	2.819
ENSG00000153391|INO80C	222.66299999999998	311.91	298.286	408.97700000000003	164.89600000000002	189.999	177.777	197.04700000000003	181.844	248.001	278.55	239.42	233.484	244.47199999999998	289.20099999999996	390.805	565.649	490.181
ENSG00000141429|GALNT1	582.0	1245.9999999999998	1074.0	1399.0	524.0	439.00000000000006	842.0	843.0	938.0	893.0	740.0	975.999	1207.001	963.0000000000001	1179.0000000000002	1318.999	2389.0	1847.0
ENSG00000141428|C18orf21	231.001	429.001	349.0	524.0	175.0	140.00000000000003	396.0	314.0	336.0	264.0	205.0	336.001	490.001	387.00100000000003	522.0	590.0000000000001	1026.0000000000002	866.0
ENSG00000141425|RPRD1A	1139.001	2126.0009999999997	1956.0	2462.0	990.0000000000001	899.0	1271.0000000000002	1372.9999999999998	1401.0000000000002	1889.9990000000003	1582.0	1861.999	2199.0009999999997	1905.0	2515.001	2594.0	4446.0	3586.0000000000005
ENSG00000141424|SLC39A6	603.0000000000001	1318.9989999999998	1143.0	1314.0	406.0	379.99899999999997	861.0010000000001	769.0000000000001	932.0	1002.0	658.9989999999999	1102.999	1318.0	1263.0	1464.999	1224.001	2260.0	1786.9999999999998
ENSG00000134759|ELP2	554.9839999999999	1175.0	1127.001	1391.0010000000002	624.999	476.99899999999997	1115.0010000000002	1121.999	1203.0010000000002	1031.9979999999998	802.9979999999999	1074.0009999999997	1436.0010000000002	1223.9999999999998	1432.998	1752.9999999999998	2608.0000000000005	1795.9999999999998
ENSG00000075643|MOCOS	57.00100000000001	96.638	78.993	124.0	45.0	63.252	65.0	86.00299999999999	117.0	59.06	41.245	58.99800000000001	82.0	95.0	107.989	137.0	143.924	123.929
ENSG00000134775|FHOD3	286.00100000000003	546.0	510.0010000000001	626.0	301.99899999999997	382.0	485.99899999999997	453.999	411.999	612.0	578.9999999999998	553.9989999999999	681.0	791.0010000000001	865.0	1031.999	1285.9990000000003	870.0
ENSG00000134779|TPGS2	679.997	1242.413	1108.0010000000002	1253.0	515.001	490.00000000000006	865.0010000000001	789.0000000000001	850.002	977.0	833.0000000000001	1041.0	1437.0	1410.0	1633.999	1727.002	2168.0009999999997	1576.0009999999997
ENSG00000150477|KIAA1328	569.811	862.4689999999999	883.9729999999998	1115.721	399.0160000000001	323.434	637.303	619.1569999999999	698.632	633.904	653.329	631.836	529.805	526.742	790.0189999999998	881.152	1368.625	1038.9450000000002
ENSG00000101489|CELF4	7.0	12.0	8.0	5.0	16.0	12.0	6.0	3.0	2.0	16.0	19.0	21.0	9.0	14.0	18.0	12.0	21.0	10.999999999999998
ENSG00000078142|PIK3C3	471.06200000000007	1042.192	912.9960000000001	1302.999	515.0	417.001	799.001	953.9989999999999	1033.076	866.0	801.428	967.9999999999999	1294.0120000000002	1013.0	1302.656	1413.056	2656.112	1944.1960000000001
ENSG00000152214|RIT2	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
ENSG00000132872|SYT4	1.0	5.0	5.0	4.0	3.0	0.0	5.0	2.0	5.0	9.0	12.0	11.0	25.0	13.0	17.0	16.0	35.0	18.0
ENSG00000152217|SETBP1	379.99899999999997	687.0000000000001	554.0000000000002	816.999	313.0	303.00100000000003	618.9999999999998	610.9999999999999	616.9999999999999	544.999	567.0	542.0	616.999	682.0	805.0	1140.0000000000005	1561.9999999999995	1211.0
ENSG00000132874|SLC14A2	11.001	12.0	3.031	12.387	9.75	12.294	4.011	9.866	6.914	10.004000000000001	15.271	11.512	1.972	3.636	5.01	5.0	12.833	12.812
ENSG00000141469|SLC14A1	1.0	2.0	1.0	1.0	0.0	0.0	1.0	2.0	0.0	4.0	2.0	1.0	1.0	0.0	1.0	1.0	3.0	1.0
ENSG00000197046|SIGLEC15	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0
ENSG00000152223|EPG5	382.0	774.0	614.0000000000001	925.999	313.0	267.9990000000001	980.9990000000001	883.0000000000001	878.9989999999998	511.0	366.0	504.0	806.0	888.9999999999999	941.0	1351.0	1891.999	1441.0000000000002
ENSG00000152229|PSTPIP2	221.818	367.723	384.17900000000003	468.00000000000006	154.0	151.0	322.884	321.002	297.252	354.774	288.01	378.0	434.0	428.0	513.0	514.001	808.9939999999998	626.0
ENSG00000152234|ATP5F1A	4087.531	8468.989	7491.000999999999	8701.898000000001	3957.0	3318.9999999999995	6251.1410000000005	6376.932	6700.048000000001	5822.257999999999	4456.999	6604.999999999999	9744.55	9640.904	10272.999999999998	9387.001999999999	13008.999999999998	10427.0
ENSG00000152240|HAUS1	297.00000000000006	588.0	583.0000000000001	638.0000000000002	308.99899999999997	314.00100000000003	399.0	503.001	459.001	617.999	572.001	620.9989999999999	755.0009999999999	590.999	773.0	852.0	1241.9999999999998	988.9999999999998
ENSG00000152242|C18orf25	579.001	1158.0000000000002	1018.0000000000001	1391.0	671.001	755.0	1064.9999999999998	1191.0	1183.999	1110.0	970.999	1010.0	1276.0	1251.0010000000002	1625.001	2196.9999999999995	3023.9990000000007	2399.0009999999997
ENSG00000141622|RNF165	72.936	123.0	109.73100000000002	135.909	68.388	68.0	97.0	107.995	93.7	110.81600000000002	94.131	114.109	102.975	132.0	120.3	144.066	201.827	156.28
ENSG00000167210|LOXHD1	3.0	3.0	4.0	5.0	6.0	9.0	2.0	4.0	1.999	8.0	5.0	8.0	1.0	2.0	6.0	5.0	5.0	6.0
ENSG00000101638|ST8SIA5	16.0	25.0	32.0	55.012	19.0	23.0	33.0	20.0	23.0	22.125999999999998	26.0	22.0	22.0	21.0	27.001	38.0	34.0	24.0
ENSG00000078043|PIAS2	340.00100000000003	643.0	551.002	646.001	186.999	167.0	625.0	473.99999999999994	639.9989999999999	453.0	367.99899999999997	527.0020000000001	708.998	588.999	747.9989999999999	837.934	1307.999	994.999
ENSG00000167216|KATNAL2	35.0	94.00000000000001	68.999	86.001	38.0	36.001000000000005	55.0	61.999	44.001000000000005	72.0	61.99999999999999	82.99999999999999	87.999	89.999	121.99999999999997	119.99999999999999	174.999	134.0
ENSG00000183791|ELOA3	61.858	77.758	77.389	106.128	60.715	58.698	79.45	80.38	50.272	62.86600000000001	72.789	54.334	65.881	41.168	65.204	60.842	84.726	49.549
